0,"['TAGNAME', 'NAME-ENT', 'NAME-ENT', 'reveal', 'PRON', 'accept', 'role', 'project', 'where', 'female', 'costar', 'pay', 'equally']"
1,"['TAGNAME', 'happen', 'URL']"
2,"['TAGNAME', 'yes', 'PRON', 'not', 'mind', 'cat', 'hybrid']"
3,"['TAGNAME', 'NAME-ENT', 'mom', 'PRON', 'love', 'NAME-ENT', 'day', 'URL']"
4,"['TAGNAME', 'time', 'NAME-ENT', 'NAME-ENT', 'PRON', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT']"
5,"['TAGNAME', 'police', 'white', 'guy', 'dread', 'beatbox', 'PRON', 'not', 'black', 'public', 'PRON', 'not', 'try', 'black']"
6,"['TAGNAME', 'when', 'PRON', 'play', 'crack', 'egg', 'trampoline', 'friend', 'egg', 'lol', 'URL']"
7,"['TAGNAME', 'kuya', 'NAME-ENT', 'PRON', '2nd', 'cousin', 'PRON', 'blind', 'idk', 'when', 'PRON', 'smart', 'PRON', 'admire', 'PRON', 'fo']"
8,"['TAGNAME', 'PRON', 'parent', 'URL']"
9,"['NAME-ENT', 'NAME-ENT', 'URL']"
10,"['TAGNAME', 'when', 'PRON', 'try', 'PRON', 'dog', 'lie', 'PRON', 'URL']"
11,"['TAGNAME', 'NAME-ENT', 'NAME-ENT', 'girlfriend', 'NAME-ENT', 'NAME-ENT', 'welcome', 'baby', 'girl', 'find', 'URL']"
12,"['hey', 'pyo', 'look', 'GOOD', 'recently', 'PRON', 'know', 'PRON', 'PRON', 'look', 'like', 'thot', 'PRON', 'PRON', 'look', 'like', 'good', 'thot', ""y'know""]"
13,"['TAGNAME', 'PRON', 'guess', 'NUM', 'year', 'commitment', 'not', 'Proud', 'player', 'PRON', 'kill', 'PRON', 'pusb']"
14,"['TAGNAME', 'NAME-ENT', 'who', 'feel', 'need', 'quiz', 'woman', 'when', 'PRON', 'interest', 'PRON', 'deem', 'PRON', 'fuck', 'annoyin']"
15,"['TAGNAME', 'lmfao', 'URL']"
16,"['TAGNAME', 'NAME-ENT', 'NAME-ENT', 'se', 'tire', 'una', 'como', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'devolvemo', 'la', 'crcel']"
17,"['TAGNAME', 'PRON', 'not', 'deserve', 'PRON']"
18,"['TAGNAME', 'PRON', 'nice', 'girl', 'PRON', 'not', 'mad', 'petty', 'PRON', 'fucking', 'hate']"
19,"['TAGNAME', 'picture', 'love', 'URL']"
20,"['TAGNAME', 'TAGNAME', 'Slow', 'news', 'day', 'TAGNAME', 'scoop', 'PRON', 'NAME-ENT', 'better', 'pundit']"
21,"['TAGNAME', '_', 'NAME-ENT', 'fast', 'PRON', 'purple']"
22,"['TAGNAME', 'Medical', 'student', 'PRON', 'graduate', 'NUM', 'finally', 'time', 'URL', '/', 's8lxpzluli']"
23,"['TAGNAME', 'PRON', 'trynna', 'NAME-ENT', 'PRON', 'w/', 'life']"
24,"['TAGNAME', 'PRON', 'chill', 'shit']"
25,"['Open', 'thread', 'night', 'owl', 'NAME-ENT', 'know', 'which', 'company', 'hire', 'NAME-ENT', 'influence', 'PRON', 'URL']"
26,"['TAGNAME', 'PRON', 'URL']"
27,"['TAGNAME', 'sex', 'argue', 'sleep', 'eat', 'shower', 'prosper', 'successful', 'yes', 'no', 'hesitati']"
28,"['honestly', 'scene', 'romantic', 'PRON', 'alarm', 'NAME-ENT', 'NAME-ENT', 'trust', 'issue']"
29,"['TAGNAME', 'NAME-ENT', 'NAME-ENT', 'URL', 'URL']"
30,"['TAGNAME', 'PRON', 'not', 'understand', 'how', 'PRON', 'constantly', 'click', 'reading', 'talk', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'oped', 'not', 'stop']"
31,"['TAGNAME', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'dominate', 'time', 'program', 'history', 'TAGNAME', 'sweep', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT']"
32,"['TAGNAME', 'URL']"
33,"['pass', 'friend', 'who', 'like', 'presidential', 'election', 'vote', 'country', 'equal', 'pre', 'URL']"
34,"['TAGNAME', 'PRON', 'want', 'item', 'furni', 'nightmare', 'induce', 'PRON', 'answer', 'yes', 'follow', 'rt', 'win', 'f']"
35,"['TAGNAME', 'cool', 'energy', 'time', 'cop', 'PRON', 'wear', 'hoodie', 'bc', 'PRON', 'suspicious', 'PRON', 'pro']"
36,"['literally', 'no', 'NUM', 'spoil', 'PRON', 'brother', 'lmao', 'mf', 'treat', 'PRON', 'like', 'queen', 'PRON', 'lucky']"
37,"['TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'quality', 'valuable', 'quantity']"
38,"['TAGNAME', 'jeongin', 'chan', 'how', 'maknae', 'NUM', 'URL']"
39,"['NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'URL', 'TAGNAME', 'song', 'special', 'mean', 'PRON', 'no', 'URL']"
40,"['cole', 'URL']"
41,"['TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', '_', 'TAGNAME', 'white', 'nothing', 'race', 'baiter', 'NAME-ENT', 'URL']"
42,"['TAGNAME', 'TAGNAME', 'URL']"
43,"['TAGNAME', 'dick', 'slight', 'curve', 'PRON', 'URL']"
44,"['TAGNAME', 'NAME-ENT', 'not', 'cry', 'PRON', 'URL']"
45,"['TAGNAME', 'PRON', 'killin', 'PRON', 'lol']"
46,"['TAGNAME', 'picture', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'TAGNAME', 'NAME-ENT', 'NAME-ENT', 'URL']"
47,"['TAGNAME', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'bless', 'PRON', 'URL']"
48,"['TAGNAME', 'NAME-ENT', 'who', 'NAME-ENT', 'talk', 'our', 'veteran', 'not', 'honorable', 'PRON', 'support', 'TAGNAME', 'PRON', 'not', 'honorable', 'accordin']"
49,"['TAGNAME', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'meet', 'war', 'PRON', 'afraid', 'send', 'kid', 'die']"
50,"['TAGNAME', 'TAGNAME', 'what', 'possibly', 'wrong', 'lol']"
51,"['TAGNAME', 'mother', 'cool', 'why', 'd', 'PRON', 'turn', 'like']"
52,"['TAGNAME', 'PRON', 'ask', 'advicemy', 'response', 'URL']"
53,"['TAGNAME', 'NAME-ENT', 'NAME-ENT', 'look', 'like', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'young', 'w', 'PRON', 'product']"
54,"['TAGNAME', 'NAME-ENT', 'NUM', 'TAGNAME', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'one', 'day', 'when', 'PRON', 'independently', 'wealthy', 'PRON', 'hire']"
55,"['TAGNAME', 'NAME-ENT', 'PRON', 'not', 'care']"
56,"['TAGNAME', 'proud', 'TAGNAME', 'TAGNAME', '_', 'PRON', 'reveal', 'what', 'project', 'PRON', 'NAME-ENT', 'bl']"
57,"['TAGNAME', 'NAME-ENT', 'guy', 'capable', 'excellence', 'URL']"
58,"['TAGNAME', 'NAME-ENT', 'lmao', 'URL']"
59,"['TAGNAME', 'NAME-ENT', 'biggest', 'evil', 'NAME-ENT', 'watchsadhna', 'tv', 'NUM', 'pm', 'URL']"
60,"['penso', 'pk', 'therefuck', 'ml']"
61,"['TAGNAME', 'NAME-ENT', 'basketball', 'commitment', 'NUM', 'recruit', 'NAME-ENT', 'NAME-ENT', 'TAGNAME', 'URL']"
62,"['TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'Super', 'fair', 'marginally', 'balance', 'URL']"
63,"['TAGNAME', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'vote', 'optOUT', 'NAME-ENT', 'unconstitutional', 'sancuary', 'city', 'law']"
64,"['TAGNAME', '_', 'PRON', 'not', 'unsee', 'URL']"
65,"['TAGNAME', 'PRON', 'ready', 'long', 'lasting', 'relationship']"
66,"['PRON', 'like', 'TAGNAME', 'video', 'URL', 'what', 'NAME-ENT', 'NUM', 'million', 'NAME-ENT']"
67,"['TAGNAME', 'mother', 'day', 'song', 'PRON', 'acknowledge', 'URL']"
68,"['TAGNAME', 'dad', 'ghetto', 'ass', 'not', 'buy', 'toilet', 'paper', 'PRON', 'paper', 'towel', 'URL']"
69,"['TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'URL']"
70,"['TAGNAME', '_', 'NUM', 'phrase', 'what', 'kind', 'group', 'NAME-ENT', 'x', 'rainbow', 'PRON', 'NUM', 'color', 'our', 'group', 'NAME-ENT']"
71,"['TAGNAME', 'NAME-ENT', 'company', 'ban', 'sell', 'NAME-ENT', 'PRON', 'violate', 'sanction', 'NAME-ENT', 'which', 'administration', 'cla']"
72,"['TAGNAME', 'wtf', 'world', 'come']"
73,"['chuck', 'extra', 'level', 'grimy', 'lately', 'public', 'humiliation', 'fire', 'NAME-ENT', 'remind', 'PRON', 'NAME-ENT', 'URL']"
74,"['NAME-ENT', 'NUM', 'NUM', 'star', 'NUM', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NAME-ENT', 'NUM', 'URL']"
75,"['TAGNAME', 'gamora', 'peter', 'parenting', 'baby', 'groot', 'cuteness', 'PRON', 'handle', 'URL']"
76,"['TAGNAME', 'TAGNAME', 'TAGNAME', 'TAGNAME', 'pretty', 'genius']"
77,"['PRON', 'thankful', 'NAME-ENT', 'love']"
78,"['TAGNAME', 'PRON', 'LONG', 'time', 'ago']"
79,"['TAGNAME', 'PRON', 'NAME-ENT']"
